" is out of stock!"," не е налично!"
"Retry Payment","Повторен опит за плащане"
"Image","Изображение"
"Online Payment","Онлайн разплащане"
"Order Cancellation","Анулиране на поръчка"
"All Stores","Всички магазини"
"List of the available ProCC Store Brands","Списък на наличните брандове в ProCC"
"noImage","Няма Изображение"
"Shipping & Handling","Доставка & Обработка"
"Bulgaria","България"
"Configure","Конфигуриране"
"Contacts","Контакти"
"8-10","8-10"
"Bulgaria, Varna","България, Варна"
"French","Френски"
"Spanish","Испански"
"Dutch","Холандски"
"Japanese","Японски"
"Russian","Руски"
"Portuguese","Португалски"
"Polish","Полски"
"Czech","Чешки"
"Deutsch","Немски"
"Български","Български"
"Français","Français"
"Español","Español"
"Nederlandse","Nederlandse"
"日本語","日本語"
"Русский","Русский"
"Italiano","Italiano"
"Português","Português"
"Polski","Polski"
"Český","Český"
"Greece","Гърция"
"Austria","Австрия"
"Slovenia","Словения"
"Croatia","Хърватия"
"Hungary","Унгария"
"Poland","Полша"
"Slovakia","Словакия"
"Czechia","Czechia"
"Romania","Румъния"
"Code must have at least 3 letters.","Кодът трябва да има поне 3 букви"
"No Options","Няма опции"
"Loading...","Зареждане..."
"Please provide a valid city name","Моля, посочете валидно име на град"
"DPD Austria","DPD Австрия"
"Place Order","Направи поръчка"
"Something went wrong :( the payment failed, please retry","Нещо се обърка :( плащането не бе успешно, моля, опитайте отново"
"We will send you the invoice to","Ще Ви изпратим фактурата до"
"Invoice to","Фактура до"
"Pay Online","Платете онлайн"
"This is not a valid EU VAT Number","Това не е валиден Булстат"
"as soon as you receive the products and submit a review","веднага щом получите продуктите и изпратите рецензия"
"Failed to verify your EU VAT Number",Неспешна потвърждаването на вашия Булстат номер "
"Account for VAT according to your local law","Отчетете ДДС съгласно местното си законодателство"
"Placing the order failed, please contact support!","Подаването на поръчката не бе успешно, моля, свържете се с поддръжката!"
"Afghanistan","Афганистан"
"Albania","Албания"
"Algeria","Алжирия"
"American Samoa","Американска Самоа"
"Andorra","Андора"
"Angola","Ангола"
"Anguilla","Ангила"
"Antarctica","Антарктида"
"Antigua and Barbuda","Антигуа и Барбуда"
"Argentina","Аржентина"
"Armenia","Армения"
"Aruba","Аруба"
"Azerbaijan","Азербайджан"
"Australia","Австралия"
"Bahamas","Бахамски острови"
"Bahrain","Бахрейн"
"Bangladesh","Бангладеш"
"Barbados","Барбадос"
"Belarus","Беларус"
"Belgium","Белгия"
"Belize","Белиз"
"Benin","Бенин"
"Bermuda","Бермуди"
"Bhutan","Бутан"
"Bosnia and Herzegovina","Босна и Херцеговина"
"Bolivia","Боливия"
"Botswana","Ботсвана"
"Bouvet Island","Остров Буве"
"Brazil","Бразилия"
"British Indian Ocean Territory","Британска територия в Индийския океан"
"The British Virgin Islands","Британските Вирджински острови"
"Brunei","Бруней"
"Burkina Faso","Буркина Фасо"
"Burundi","Бурунди"
"Cambodia","Камбоджа"
"Cameroon","Камерун"
"Canada","Канада"
"Cape Verde","Кабо Верде"
"Cayman Islands","Кайманови острови"
"Central African Republic","Централноафриканската република"
"Chad","Чад"
"China","Китай"
"Chile","Чили"
"Christmas Island","Коледен остров"
"Cocos [Keeling] Islands","Кокосови острови"
"Comoros","Коморски острови"
"Congo","Конго"
"Colombia","Колумбия"
"Cook Islands","Острови Кук"
"Costa Rica","Коста Рика"
"Cuba","Куба"
"Cyprus","Кипър"
"Czech Republic","Чехия"
"Côte d’Ivoire","Кот д'Ивоар"
"Djibouti","Джибути"
"Denmark","Дания"
"Dominica","Доминика"
"Dominican Republic","Доминиканска република"
"Ecuador","Еквадор"
"Egypt","Египет"
"El Salvador","Ел Салвадор"
"Equatorial Guinea","Екваториална Гвинея"
"Eritrea","Еритрея"
"Estonia","Естония"
"Ethiopia","Етиопия"
"Falkland Islands","Фолкландски острови"
"Faroe Islands","Фарьорските острови"
"Fiji","Фиджи"
"Finland","Финландия"
"France","Франция"
"French Guiana","Френска Гвиана"
"French Polynesia","Френска полинезия"
"Gabon","Габон"
"French Southern Territories","Френски южни територии"
"Gambia","Гамбия"
"Georgia","Грузия"
"Gibraltar","Гибралтар"
"Ghana","Гана"
"Greenland","Гренландия"
"Guadeloupe","Гваделупа"
"Guatemala","Гватемала"
"Grenada","Гренада"
"Guam","Гуам"
"Guernsey","Гернси"
"Guinea","Гвинея"
"Guyana","Гвиана"
"Haiti","Хаити"
"Heard Island and McDonald Islands","Остров Хърд и о-вите Макдоналд"
"Honduras","Хондурас"
"Hong Kong SAR China","Хонконг, Китай"
"Iceland","Исландия"
"India","Индия"
"Indonesia","Индонезия"
"Iran","Иран"
"Iraq","Ирак"
"Ireland","Ирландия"
"Isle of Man","Остров Ман"
"Israel","Израел"
"Jamaica","Ямайка"
"Jersey","Джърси"
"Japan","Япония"
"Jordan","Йордания"
"Kazakhstan","Казахстан"
"Kenya","Кения"
"Kuwait","Кувейт"
"Kiribati","Кирибати"
"Kyrgyzstan","Киргизстан"
"Laos","Лаос"
"Latvia","Латвия"
"Lebanon","Ливан"
"Lesotho","Лесото"
"Liberia","Либерия"
"Libya","Либия"
"Liechtenstein","Лихтенщайн"
"Lithuania","Литва"
"Luxembourg","Люксембург"
"Macau SAR China","Макао, Китай"
"Macedonia","Македония"
"Madagascar","Мадагаскар"
"Malaysia","Малайзия"
"Malawi","Малави"
"Maldives","Малдиви"
"Mali","Мали"
"Malta","Малта"
"Marshall Islands","Маршалови острови"
"Martinique","Мартиника"
"Mauritania","Мавритания"
"Mauritius","Мавриций"
"Mayotte","Майот"
"Micronesia","Микронезия"
"Mexico","Мексико"
"Mongolia","Монголия"
"Moldova","Молдова"
"Monaco","Монако"
"Montenegro","Черна гора"
"Montserrat","Монсерат"
"Morocco","Мароко"
"Mozambique","Мозамбик"
"Myanmar [Burma]","Мианмар [Бирма]"
"Namibia","Намибия"
"Nauru","Науру"
"Nepal","Непал"
"Netherlands Antilles","Холандски Антили"
"Netherlands","Холандия"
"New Caledonia","Нова Каледония"
"New Zealand","Нова Зеландия"
"Nicaragua","Никарагуа"
"Niger","Нигер"
"Nigeria","Нигерия"
"Niue","Ниуе"
"Norfolk Island","о-в Норфолк"
"North Korea","Северна Корея"
"Northern Mariana Islands","Северни Мариански острови"
"Norway","Норвегия"
"Oman","Оман"
"Pakistan","Пакистан"
"Palau","Палау"
"Palestinian Territories","Палестински територии"
"Panama","Панама"
"Papua New Guinea","Папуа-Нова Гвинея"
"Paraguay","Парагвай"
"Peru","Перу"
"Philippines","Филипини"
"Pitcairn Islands","о-вите Питкерн"
"Portugal","Португалия"
"Puerto Rico","Пуерто Рико"
"Qatar","Катар"
"Russia","Русия"
"Rwanda","Руанда"
"Réunion","о-в Реюнион"
"Saint Barthélemy","Свети Вартоломей"
"Saint Helena","Света Елена"
"Saint Kitts and Nevis","Сейнт Китс и Невис"
"Saint Lucia","Сейнт Лусия"
"Saint Martin","Сен-Мартин"
"Saint Pierre and Miquelon","Сен Пиер и Микелон"
"Saint Vincent and the Grenadines","Сейнт Винсент и Гренадини"
"Samoa","Самоа"
"San Marino","Сан Марино"
"Saudi Arabia","Саудитска Арабия"
"Senegal","Сенегал"
"Serbia","Сърбия"
"Seychelles","Сейшелски острови"
"Sierra Leone","Сиера Леоне"
"Singapore","Сингапур"
"Solomon Islands","Соломонови острови"
"Somalia","Сомалия"
"South Africa","Южна Африка"
"South Georgia and the South Sandwich Islands","Южна Джорджия и Южните сандвичеви о-ви"
"South Korea","Южна Кореа"
"Spain","Испания"
"Sri Lanka","Шри Ланка"
"Sudan","Судан"
"Suriname","Суринам"
"Svalbard and Jan Mayen","Шпицберген и Ян Майен"
"Swaziland","Свазиленд"
"Sweden","Швеция"
"Switzerland","Швейцария"
"Syria","Сирия"
"São Tomé and Príncipe","Сао Томе и Принсипи"
"Taiwan","Тайван"
"Tajikistan","Таджикистан"
"Tanzania","Танзания"
"Thailand","Тайланд"
"Timor","Тимор"
"Togo","Того"
"Tokelau","Токелау"
"Tonga","Тонга"
"Trinidad and Tobago","Тринидад и Тобаго"
"Tunisia","Тунис"
"Turkey","Турция"
"Turkmenistan","Туркменистан"
"Turks and Caicos Islands","о-ви Търкс и Кайкос"
"U.S. Minor Outlying Islands","Малки отдалечени о-ви на САЩ"
"Tuvalu","Тувалу"
"U.S. Virgin Islands","Американски Вирджински о-ви"
"Uganda","Уганда"
"Ukraine","Украйна"
"United Arab Emirates","Обединени арабски емирства"
"United Kingdom","Великобритания"
"Uruguay","Уругвай"
"Uzbekistan","Узбекистан"
"Vanuatu","Вануату"
"Vatican City","Ватикана"
"Venezuela","Венецуела"
"Vietnam","Виетнам"
"Wallis and Futuna","Уолис и Футуна"
"Western Sahara","Западна Сахара"
"Yemen","Йемен"
"Zambia","Замбия"
"Zimbabwe","Зимбабве"
"Åland Islands","Оландските о-ви"
"The transaction is being processed","Транзакцията се обработва"
"Please Wait...","Моля Изчакайте..."
"Shipping Address","Адрес за доставка"
"FAQ","ЧЗВ"
"Suggested Products","Предложени продукти"
"Shipping Fee","Такса Доставка"
"VAT (Included)","с ДДС"
"Home","Начало"
"About us","За нас"
"About us (Magento CMS)","За нас (Magento CMS)"
"Subscribe","Абонирай се"
"Language","Език"
"English","Английски"
"Password *","Парола *"
"The field is required.","Полето е задължително."
"Checkout","Плащане"
"Your shopping cart is empty.","Количката Ви е празна."
"Don"t hesitate and","Не се колебайте и"
"My shipping details","Моите данни за доставка"
